,STATE,TRACTFIPS,COUNTYFIPS,STATEFIPS,TERRITORY,ACS_TOT_POP_WT,ACS_TOT_POP_US_ABOVE1,ACS_TOT_POP_ABOVE5,ACS_TOT_POP_ABOVE15,ACS_TOT_POP_ABOVE16,ACS_TOT_POP_16_19,ACS_TOT_POP_ABOVE25,ACS_TOT_CIVIL_POP_ABOVE18,ACS_TOT_CIVIL_VET_POP_ABOVE25,ACS_TOT_OWN_CHILD_BELOW17,ACS_TOT_CIVILIAN_LABOR,ACS_TOT_CIVIL_EMPLOY_POP,ACS_TOT_WORKER_HH,ACS_TOT_WORKER_NWFH,ACS_TOT_CIVIL_NONINST_POP_POV,ACS_TOT_CIVIL_POP_POV,ACS_TOT_POP_POV,ACS_TOT_GRANDCHILDREN_GP,ACS_TOT_HU,ACS_TOT_HH,ACS_AVG_HH_SIZE,ACS_TOT_CIVIL_NONINST_POP,ACS_TOT_CIVIL_VET_POP,ACS_PCT_CHILD_DISAB,ACS_PCT_DISABLE,ACS_PCT_NONVET_DISABLE_18_64,ACS_PCT_VET_DISABLE_18_64,ACS_PCT_FEMALE,ACS_PCT_MALE,ACS_PCT_CTZ_ABOVE18,ACS_PCT_CTZ_NATURALIZED,ACS_PCT_CTZ_NONUS_BORN,ACS_PCT_CTZ_US_BORN,ACS_PCT_FOREIGN_BORN,ACS_PCT_NON_CITIZEN,ACS_PCT_NONCTN_1990,ACS_PCT_NONCTN_1999,ACS_PCT_NONCTN_2000,ACS_PCT_NONCTN_2010,ACS_PCT_API_LANG,ACS_PCT_ENGL_NOT_ALL,ACS_PCT_ENGL_NOT_WELL,ACS_PCT_ENGL_VERY_WELL,ACS_PCT_ENGL_WELL,ACS_PCT_ENGLISH,ACS_PCT_HH_LIMIT_ENGLISH,ACS_PCT_OTH_EURP,ACS_PCT_OTH_LANG,ACS_PCT_SPANISH,ACS_PCT_GULFWAR_1990_2001,ACS_PCT_GULFWAR_2001,ACS_PCT_GULFWAR_VIETNAM,ACS_PCT_VET,ACS_PCT_VIETNAM,ACS_MEDIAN_AGE,ACS_MEDIAN_AGE_FEMALE,ACS_MEDIAN_AGE_MALE,ACS_PCT_AGE_0_4,ACS_PCT_AGE_5_9,ACS_PCT_AGE_10_14,ACS_PCT_AGE_15_17,ACS_PCT_AGE_0_17,ACS_PCT_AGE_18_29,ACS_PCT_AGE_18_44,ACS_PCT_AGE_30_44,ACS_PCT_AGE_45_64,ACS_PCT_AGE_50_64,ACS_PCT_AGE_ABOVE65,ACS_PCT_AGE_ABOVE80,ACS_PCT_AIAN,ACS_PCT_AIAN_FEMALE,ACS_PCT_AIAN_MALE,ACS_PCT_AIAN_NONHISP,ACS_PCT_ASIAN,ACS_PCT_ASIAN_FEMALE,ACS_PCT_ASIAN_MALE,ACS_PCT_ASIAN_NONHISP,ACS_PCT_BLACK,ACS_PCT_BLACK_FEMALE,ACS_PCT_BLACK_MALE,ACS_PCT_BLACK_NONHISP,ACS_PCT_HISP_FEMALE,ACS_PCT_HISP_MALE,ACS_PCT_HISPANIC,ACS_PCT_MULT_RACE,ACS_PCT_MULT_RACE_FEMALE,ACS_PCT_MULT_RACE_MALE,ACS_PCT_MULT_RACE_NONHISP,ACS_PCT_NHPI,ACS_PCT_NHPI_FEMALE,ACS_PCT_NHPI_MALE,ACS_PCT_NHPI_NONHISP,ACS_PCT_OTHER_FEMALE,ACS_PCT_OTHER_MALE,ACS_PCT_OTHER_NONHISP,ACS_PCT_OTHER_RACE,ACS_PCT_WHITE,ACS_PCT_WHITE_FEMALE,ACS_PCT_WHITE_MALE,ACS_PCT_WHITE_NONHISP,ACS_PCT_HOUSEHOLDER_WHITE,ACS_PCT_HOUSEHOLDER_BLACK,ACS_PCT_HOUSEHOLDER_AIAN,ACS_PCT_HOUSEHOLDER_ASIAN,ACS_PCT_HOUSEHOLDER_NHPI,ACS_PCT_HOUSEHOLDER_OTHER,ACS_PCT_HOUSEHOLDER_MULT,ACS_PCT_AIAN_COMB,ACS_PCT_ASIAN_COMB,ACS_PCT_BLACK_COMB,ACS_PCT_NHPI_COMB,ACS_PCT_WHITE_COMB,ACS_PCT_HH_NO_COMP_DEV,ACS_PCT_HH_SMARTPHONE,ACS_PCT_HH_SMARTPHONE_ONLY,ACS_PCT_HH_TABLET,ACS_PCT_HH_TABLET_ONLY,ACS_PCT_HH_PC,ACS_PCT_HH_PC_ONLY,ACS_PCT_HH_OTHER_COMP,ACS_PCT_HH_OTHER_COMP_ONLY,ACS_PCT_HH_INTERNET,ACS_PCT_HH_INTERNET_NO_SUBS,ACS_PCT_HH_BROADBAND,ACS_PCT_HH_BROADBAND_ONLY,ACS_PCT_HH_BROADBAND_ANY,ACS_PCT_HH_CELLULAR,ACS_PCT_HH_CELLULAR_ONLY,ACS_PCT_HH_NO_INTERNET,ACS_PCT_HH_SAT_INTERNET,ACS_PCT_HH_DIAL_INTERNET_ONLY,ACS_PCT_CHILD_1FAM,ACS_PCT_CHILDREN_GRANDPARENT,ACS_PCT_GRANDP_RESPS_NO_P,ACS_PCT_GRANDP_RESPS_P,ACS_PCT_GRANDP_NO_RESPS,ACS_PCT_HH_KID_1PRNT,ACS_PCT_DIVORCED_F,ACS_PCT_DIVORCED_M,ACS_PCT_MARRIED_SP_AB_F,ACS_PCT_MARRIED_SP_AB_M,ACS_PCT_MARRIED_SP_PR_F,ACS_PCT_MARRIED_SP_PR_M,ACS_PCT_NVR_MARRIED_F,ACS_PCT_NVR_MARRIED_M,ACS_PCT_WIDOWED_F,ACS_PCT_WIDOWED_M,ACS_PCT_POP_SAME_SEX_UNMRD_P,ACS_PCT_POP_SAME_SEX_SPOUSE,ACS_PCT_ADMIN,ACS_PCT_ARMED_FORCES,ACS_PCT_ART,ACS_PCT_CONSTRUCT,ACS_PCT_EDUC,ACS_PCT_EMPLOYED,ACS_PCT_FINANCE,ACS_PCT_GOVT,ACS_PCT_INFORM,ACS_PCT_MANUFACT,ACS_PCT_NATURE,ACS_PCT_NOT_LABOR,ACS_PCT_OTHER,ACS_PCT_PROFESS,ACS_PCT_PVT_NONPROFIT,ACS_PCT_PVT_PROFIT,ACS_PCT_RETAIL,ACS_PCT_TRANSPORT,ACS_PCT_UNEMPLOY,ACS_PCT_VET_LABOR_FORCE_18_64,ACS_PCT_VET_UNEMPL_18_64,ACS_PCT_WHOLESALE,ACS_PCT_WORK_RES_F,ACS_PCT_WORK_RES_M,ACS_GINI_INDEX,ACS_MDN_GRNDPRNT_NO_PRNT_INC,ACS_MDN_GRNDPRNT_INC,ACS_MEDIAN_HH_INC_AIAN,ACS_MEDIAN_HH_INC_ASIAN,ACS_MEDIAN_HH_INC_BLACK,ACS_MEDIAN_HH_INC_HISP,ACS_MEDIAN_HH_INC_MULTI,ACS_MEDIAN_HH_INC_NHPI,ACS_MEDIAN_HH_INC_OTHER,ACS_MEDIAN_HH_INC_WHITE,ACS_MEDIAN_HH_INC,ACS_MEDIAN_INC_F,ACS_MEDIAN_INC_M,ACS_MEDIAN_NONVET_INC,ACS_MEDIAN_VET_INC,ACS_PCT_INC50_ABOVE65,ACS_PCT_INC50_BELOW17,ACS_PCT_HEALTH_INC_BELOW137,ACS_PCT_HEALTH_INC_138_199,ACS_PCT_HEALTH_INC_200_399,ACS_PCT_HEALTH_INC_ABOVE400,ACS_PCT_HH_INC_10000,ACS_PCT_HH_INC_100000,ACS_PCT_HH_INC_14999,ACS_PCT_HH_INC_24999,ACS_PCT_HH_INC_49999,ACS_PCT_HH_INC_99999,ACS_PCT_INC50,ACS_PCT_NONVET_POV_18_64,ACS_PCT_VET_POV_18_64,ACS_PCT_PERSON_INC_100_124,ACS_PCT_PERSON_INC_125_199,ACS_PCT_PERSON_INC_ABOVE200,ACS_PCT_PERSON_INC_BELOW99,ACS_PER_CAPITA_INC,ACS_PCT_POV_AIAN,ACS_PCT_POV_ASIAN,ACS_PCT_POV_BLACK,ACS_PCT_POV_HISPANIC,ACS_PCT_POV_MULTI,ACS_PCT_POV_NHPI,ACS_PCT_POV_OTHER,ACS_PCT_POV_WHITE,ACS_PCT_HH_1FAM_FOOD_STMP,ACS_PCT_HH_FOOD_STMP,ACS_PCT_HH_FOOD_STMP_BLW_POV,ACS_PCT_HH_NO_FD_STMP_BLW_POV,ACS_PCT_HH_PUB_ASSIST,ACS_PCT_COLLEGE_ASSOCIATE_DGR,ACS_PCT_BACHELOR_DGR,ACS_PCT_NO_WORK_NO_SCHL_16_19,ACS_PCT_GRADUATE_DGR,ACS_PCT_HS_GRADUATE,ACS_PCT_LT_HS,ACS_PCT_POSTHS_ED,ACS_PCT_VET_BACHELOR,ACS_PCT_VET_COLLEGE,ACS_PCT_VET_HS,ACS_MEDIAN_HOME_VALUE,ACS_MEDIAN_RENT,ACS_MDN_OWNER_COST_MORTGAGE,ACS_MDN_OWNER_COST_NO_MORTG,ACS_MEDIAN_YEAR_BUILT,ACS_PCT_10UNITS,ACS_PCT_1UP_OWNER_1ROOM,ACS_PCT_1UP_PERS_1ROOM,ACS_PCT_1UP_RENT_1ROOM,ACS_PCT_HU_BUILT_1979,ACS_PCT_DIF_STATE,ACS_PCT_GRP_QRT,ACS_PCT_HH_1PERS,ACS_PCT_HH_ABOVE65,ACS_PCT_HH_ALONE_ABOVE65,ACS_PCT_HU_NO_FUEL,ACS_PCT_HU_UTILITY_GAS,ACS_PCT_HU_BOT_TANK_LP_GAS,ACS_PCT_HU_OIL,ACS_PCT_HU_WOOD,ACS_PCT_HU_COAL,ACS_PCT_HU_OTHER,ACS_PCT_HU_ELEC,ACS_PCT_HU_SOLAR,ACS_PCT_IN_COUNTY_MOVE,ACS_PCT_IN_STATE_MOVE,ACS_PCT_HU_KITCHEN,ACS_PCT_HU_MOBILE_HOME,ACS_PCT_OWNER_HU,ACS_PCT_OWNER_HU_COST_30PCT,ACS_PCT_OWNER_HU_COST_50PCT,ACS_PCT_OWNER_HU_CHILD,ACS_PCT_HU_PLUMBING,ACS_PCT_RENTER_HU_COST_30PCT,ACS_PCT_RENTER_HU_COST_50PCT,ACS_PCT_RENTER_HU,ACS_PCT_RENTER_HU_ABOVE65,ACS_PCT_RENTER_HU_CHILD,ACS_PCT_VACANT_HU,ACS_PCT_COMMT_15MIN,ACS_PCT_COMMT_29MIN,ACS_PCT_COMMT_59MIN,ACS_PCT_COMMT_60MINUP,ACS_PCT_DRIVE_2WORK,ACS_PCT_HU_NO_VEH,ACS_PCT_PUB_COMMT_15MIN,ACS_PCT_PUB_COMMT_29MIN,ACS_PCT_PUB_COMMT_59MIN,ACS_PCT_PUB_COMMT_60MINUP,ACS_PCT_PUBL_TRANSIT,ACS_PCT_TAXICAB_2WORK,ACS_PCT_WALK_2WORK,ACS_PCT_WORK_NO_CAR,ACS_PCT_MEDICAID_ANY,ACS_PCT_MEDICAID_ANY_BELOW64,ACS_PCT_MEDICARE_ONLY,ACS_PCT_OTHER_INS,ACS_PCT_PVT_EMPL_DRCT,ACS_PCT_PVT_EMPL_DRCT_BELOW64,ACS_PCT_PRIVATE_ANY,ACS_PCT_PRIVATE_ANY_BELOW64,ACS_PCT_PRIVATE_EMPL,ACS_PCT_PRIVATE_EMPL_BELOW64,ACS_PCT_PRIVATE_MDCR,ACS_PCT_PRIVATE_MDCR_35_64,ACS_PCT_PRIVATE_OTHER,ACS_PCT_PRIVATE_OTHER_BELOW64,ACS_PCT_PRIVATE_SELF,ACS_PCT_PRIVATE_SELF_BELOW64,ACS_PCT_PUBLIC_ONLY,ACS_PCT_PUBLIC_OTHER,ACS_PCT_PUBLIC_OTHER_BELOW64,ACS_PCT_SELF_MDCR_ABOVE35,ACS_PCT_TRICARE_VA,ACS_PCT_TRICARE_VA_BELOW64,ACS_PCT_UNINSURED,ACS_PCT_UNINSURED_BELOW64,CEN_AREALAND_SQM_TRACT,CEN_POPDENSITY_TRACT,WUSTL_AVG_PM25,HIFLD_DIST_UC_TRACT,POS_DIST_ED_TRACT,POS_DIST_MEDSURG_ICU_TRACT,POS_DIST_TRAUMA_TRACT,POS_DIST_PED_ICU_TRACT,POS_DIST_OBSTETRICS_TRACT,POS_DIST_CLINIC_TRACT,POS_DIST_ALC_TRACT,CEN_AIAN_NH_IND,COUNTY
0,Alabama,1076025564,1075,1,0,3405,3367,3200,2776,2732,180,2327,2634,223,643,1562,1475,1448,1393,3311,2562,3320,83,1579,1314,2,3349,226,4,16,14,23,51,48,76,1,1,96,3,1,0,0,0,0,0,0,0,3,1,94,1,0,0,3,22,20,15,8,36,40,41,38,5,5,6,3,21,16,34,18,26,20,17,3,0,51,48,0,1,60,39,1,29,52,47,29,46,53,4,2,50,49,1,0,56,43,0,45,54,0,1,64,51,48,62,66,29,0,1,0,0,1,1,1,30,0,66,13,78,13,53,1,66,4,2,0,78,3,56,7,77,69,16,18,8,0,37,12,28,31,39,18,15,13,4,4,42,46,28,34,10,3,0,0,5,0,8,6,22,93,5,15,1,14,1,43,4,9,6,72,11,5,6,68,4,2,32,28,0,52940,65355,57269,101791,44621,58659,60531,0,50675,60326,52977,22550,36231,27388,44000,3,11,25,12,31,30,8,20,6,11,24,28,7,17,11,5,15,61,17,27876,19,14,24,25,23,25,25,14,31,14,8,9,15,30,15,2,9,31,13,54,26,37,36,146731,824,1171,383,1976,6,1,1,3,46,2,2,30,31,12,0,26,6,0,0,0,0,64,0,7,2,5,13,68,18,7,26,4,45,22,31,15,35,16,27,37,28,7,97,6,16,28,26,28,0,1,1,2,17,19,6,7,1,1,56,60,42,50,3,0,0,0,5,6,25,0,0,3,1,2,9,11,35,964,7,9,5,7,17,36,8,4,15,0,Abbeville County
1,Alaska,2098197718,2098,2,0,4163,4108,3868,3290,3235,206,2731,3021,354,899,2078,1929,1888,1865,3989,2974,4064,91,1798,1441,2,4017,365,3,12,10,17,47,52,73,4,6,90,9,3,0,0,0,1,5,0,1,10,2,84,2,2,4,3,27,29,14,11,32,37,37,36,6,6,6,3,23,16,37,20,25,19,13,2,16,51,48,15,5,57,42,5,2,39,60,2,47,52,6,9,47,52,7,1,43,56,1,43,56,0,1,62,45,54,59,68,2,15,4,0,1,6,22,8,4,1,70,6,86,9,62,0,78,4,4,0,85,2,64,7,84,75,15,12,6,0,29,8,24,28,46,16,15,12,5,6,45,42,29,38,6,2,0,0,12,2,9,6,24,92,3,27,1,3,4,32,4,7,9,54,10,8,7,77,6,1,69,66,0,78891,93768,62244,87479,81883,77685,82115,88644,81428,84980,76906,29059,43986,35038,54131,1,5,16,9,30,43,4,35,3,6,18,31,5,10,9,3,11,74,10,37112,18,8,11,11,11,27,11,7,22,11,4,5,14,34,18,2,10,29,7,63,27,41,30,261592,1243,1860,606,1983,7,5,6,9,39,4,4,27,26,9,0,40,1,34,8,0,0,12,0,9,2,9,4,64,22,8,31,11,41,18,35,11,34,22,49,33,12,5,80,11,24,23,26,25,1,6,11,7,17,19,4,7,1,1,51,53,39,44,3,0,1,2,4,4,27,0,0,1,5,5,13,15,3226,1579,3,61,23,37,47,99,24,19,68,0,Acadia Parish
2,American Samoa,60032062172,60031,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,Accomack County
3,Arizona,4015281918,4015,4,0,4064,4019,3820,3294,3241,217,2745,3123,274,787,1934,1822,1787,1641,3964,3052,3973,90,1722,1497,2,4003,278,4,14,10,19,50,49,71,5,6,86,13,6,1,1,1,2,1,1,2,17,3,73,4,1,2,19,20,20,13,9,36,40,41,39,5,5,6,3,21,16,34,18,24,18,19,4,4,50,49,4,3,57,42,3,4,45,54,3,50,49,30,6,48,51,2,0,46,53,0,49,50,0,6,74,49,50,55,78,4,4,2,0,5,5,5,4,5,0,80,7,84,8,62,0,79,4,2,0,85,2,69,8,85,75,11,11,8,0,33,10,17,30,51,18,15,12,4,4,43,46,29,35,8,2,0,0,5,0,10,7,22,93,8,14,1,6,1,40,4,12,6,71,12,5,6,73,5,2,45,41,0,40879,71418,53348,108364,66285,67713,79797,55179,61156,69983,66446,27598,41223,32990,45715,3,8,21,12,31,35,6,27,3,8,22,31,6,14,9,4,14,66,14,32689,24,12,19,16,15,14,16,12,23,11,5,8,11,33,18,2,11,24,12,63,29,42,27,252220,1202,1461,453,1966,10,3,4,6,32,3,2,26,32,11,0,32,3,0,2,0,0,59,0,10,1,2,10,66,21,8,29,1,45,21,33,17,36,12,26,36,29,7,93,5,8,13,37,39,1,2,2,2,18,20,7,6,1,1,55,60,40,50,2,0,0,0,5,7,27,0,0,4,1,1,10,12,64,3646,8,6,4,5,12,21,5,4,15,0,Ada County
4,Arkansas,5080793827,5080,5,0,3659,3618,3430,2951,2901,194,2462,2799,230,736,1678,1591,1561,1504,3546,2709,3552,78,1676,1422,2,3593,233,6,18,16,28,51,48,74,1,2,95,4,2,0,0,0,1,1,0,1,3,1,93,1,0,0,4,20,18,14,8,38,40,41,38,6,6,6,3,22,15,34,18,25,19,17,4,0,50,49,0,1,60,39,1,17,48,51,17,47,52,6,3,48,51,3,0,54,45,0,44,55,0,2,73,50,49,70,76,16,0,1,0,1,2,2,1,18,0,77,12,79,14,51,0,65,4,1,0,75,4,51,7,75,66,17,19,9,0,34,10,29,33,37,17,16,14,4,4,45,48,25,31,10,3,0,0,4,0,7,6,24,94,4,15,1,13,3,42,4,7,7,70,12,5,5,68,4,2,36,31,0,45527,57137,77984,86241,39558,52207,62292,49567,47547,54318,50555,22618,33216,26895,38420,2,9,26,14,31,27,7,18,6,12,25,29,7,16,11,5,17,59,17,26977,21,14,27,23,20,21,22,14,27,12,6,10,13,29,14,2,8,34,13,51,21,35,43,130408,747,1081,369,1983,6,1,2,4,43,2,2,29,31,11,0,36,7,0,3,0,0,51,0,8,3,4,12,66,16,6,28,4,42,19,33,16,35,15,36,35,22,5,96,6,24,19,34,21,0,1,1,2,24,27,7,6,1,1,51,54,37,44,2,0,0,0,5,7,33,0,0,4,1,1,8,9,63,834,7,16,5,7,7,42,8,3,17,0,Adair County
5,California,6055459136,6055,6,0,4310,4263,4046,3495,3440,223,2920,3313,164,835,2177,2042,1980,1830,4217,3251,4227,91,1556,1435,3,4254,167,3,11,8,17,50,49,66,13,15,72,27,12,2,2,3,3,9,2,6,25,7,57,9,4,1,27,17,20,13,5,35,38,39,37,5,5,6,3,22,17,37,20,25,18,15,3,0,49,50,0,14,54,45,13,5,46,53,5,49,50,37,7,49,50,3,0,49,50,0,49,50,0,13,57,49,50,38,61,6,0,13,0,11,5,2,16,7,0,64,5,87,7,65,0,81,3,3,0,88,2,73,6,88,79,10,9,8,0,27,8,10,24,65,19,13,9,5,5,41,44,33,40,7,2,0,0,4,0,10,6,21,93,5,14,2,8,2,36,5,13,6,70,10,5,6,75,5,2,39,34,0,61310,90864,74590,111257,77406,80135,105444,97745,72487,94017,85630,31242,48075,38593,55534,3,6,19,10,27,42,4,38,4,7,17,27,5,12,9,4,12,70,12,39665,17,12,20,14,12,18,15,11,18,9,3,8,10,28,21,1,12,20,16,62,32,41,26,614847,1736,2462,659,1885,16,5,8,12,60,1,2,23,30,9,3,62,3,0,1,0,0,26,0,7,2,2,3,55,32,14,31,0,53,26,44,15,39,7,22,34,30,12,89,7,4,13,35,47,5,2,3,3,22,23,5,4,1,1,58,63,44,52,2,0,0,0,7,9,29,0,0,2,0,0,7,8,17,8777,12,3,2,3,8,13,3,2,8,0,Adams County
6,Colorado,8046574815,8046,8,0,3928,3887,3700,3207,3156,199,2695,3033,252,782,2128,2029,1999,1800,3827,2969,3845,55,1631,1477,2,3862,256,3,11,8,16,49,50,74,4,5,89,10,4,0,1,1,1,1,0,1,10,2,84,2,2,0,10,22,24,13,8,34,38,39,38,5,5,6,3,20,17,38,21,25,19,15,3,1,50,49,0,2,57,42,2,3,39,60,3,48,51,20,5,49,50,2,0,53,46,0,47,52,0,3,82,49,50,69,85,3,0,2,0,3,4,2,4,4,0,87,5,87,6,65,0,84,4,2,0,89,2,74,8,89,79,9,8,8,0,25,6,18,29,52,13,14,12,3,3,47,47,28,35,6,2,0,0,4,0,10,8,21,95,6,14,2,6,2,32,4,13,7,71,10,4,4,78,4,2,41,36,0,66099,78128,57753,107346,67215,75359,93275,0,66715,83741,80389,31622,48707,38941,52766,2,5,15,9,28,45,4,36,3,6,18,30,5,10,7,3,11,74,10,40254,16,12,19,12,12,14,13,9,17,7,3,6,8,29,26,2,15,21,7,71,39,36,23,390989,1415,1821,516,1904,15,1,2,4,45,4,2,27,26,9,0,67,6,0,2,0,0,23,0,8,5,1,4,66,23,9,28,1,48,22,33,14,32,8,27,36,28,7,90,4,5,15,45,34,3,2,3,2,15,17,5,5,1,1,62,67,47,55,2,0,0,0,7,9,23,0,0,3,2,2,7,8,71,3764,7,6,4,5,5,13,5,3,9,0,Addison County
7,Connecticut,9005874876,9005,9,0,4043,4006,3836,3367,3315,221,2819,3199,179,757,2178,2047,1985,1859,3919,3096,3926,47,1722,1569,2,3986,181,4,11,8,14,51,48,73,7,8,84,15,6,0,1,2,3,2,1,2,14,4,77,5,6,1,12,13,14,14,5,35,41,43,40,5,5,6,3,20,15,34,18,28,21,17,4,0,49,50,0,4,53,46,4,11,48,51,10,49,50,17,4,49,50,2,0,56,43,0,49,50,0,5,73,51,48,64,77,10,0,3,0,4,3,1,5,13,0,77,8,82,6,63,1,80,5,2,0,87,2,76,10,86,75,8,10,3,0,31,5,13,25,60,17,13,10,3,3,43,46,32,38,8,2,0,0,3,0,8,6,26,93,8,12,2,10,0,34,4,11,9,70,10,4,6,80,5,2,21,19,0,48160,88738,82071,139110,70502,76958,96593,0,53206,94802,88935,33442,54025,42481,55567,2,5,15,8,24,51,5,39,3,6,17,27,5,10,7,3,9,76,10,45599,19,10,17,15,11,15,18,9,22,12,5,5,13,24,21,2,17,26,9,63,32,29,37,322613,1375,2209,929,1769,12,1,1,2,70,2,3,28,30,11,0,36,4,39,1,0,0,16,0,6,1,1,0,64,29,12,28,1,49,25,35,21,28,9,27,37,25,9,89,9,6,16,30,46,5,1,3,4,18,19,5,5,1,1,64,69,50,60,3,0,0,0,5,7,25,0,0,3,0,0,5,6,5,3816,6,4,3,3,7,12,4,2,4,0,Adjuntas Municipio
